@relation '../Data/19_frequency-weka.filters.unsupervised.attribute.Remove-R1-4,6,8-26,28-41-weka.filters.unsupervised.attribute.Standardize'

@attribute featured_lists numeric
@attribute featured_articles numeric
@attribute isSuccessful {1,0}

@data
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,0.674212,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,3.195438,0
-0.101131,-0.166197,0
-0.101131,0.674212,0
-0.101131,-0.166197,0
9.243387,2.355029,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,21.684429,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
6.128547,0.674212,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
22.741023,1.514621,1
-0.101131,0.674212,1
-0.101131,-0.166197,1
0.937149,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
1.975428,4.876255,0
0.937149,1.514621,0
-0.101131,1.514621,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
14.434785,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,7.397481,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
0.937149,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
0.937149,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,1
-0.101131,-0.166197,1
3.013708,14.120751,1
-0.101131,0.674212,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
0.937149,0.674212,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
13.396506,4.035847,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
0.937149,3.195438,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,1.514621,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
0.937149,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
0.937149,0.674212,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,0.674212,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,11.599525,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,2.355029,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,0.674212,1
-0.101131,2.355029,1
-0.101131,-0.166197,1
-0.101131,0.674212,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,1.514621,1
-0.101131,-0.166197,1
3.013708,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,3.195438,1
0.937149,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
31.047261,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,-0.166197,1
-0.101131,0.674212,1
-0.101131,0.674212,1
-0.101131,-0.166197,1
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,0.674212,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
-0.101131,-0.166197,0
