MZMcBride,2010-08-24 08:25:00,0,0,178583,2005,818
Al Ameer son,2009-03-17 16:18:00,1,0,43865,2007,865
Fram,2007-02-19 09:07:00,1,0,169519,2005,567
Gilliam,2007-01-29 18:29:00,1,0,275975,2005,328
Graham87,2007-08-07 06:45:00,1,0,130922,2005,85
Iridescent,2007-09-13 19:34:00,1,0,193005,2006,79
Keith D,2007-12-04 19:34:00,1,0,218196,2006,334
Meno25,2007-03-30 20:05:00,1,0,119692,2006,192
MZMcBride,2010-08-24 08:25:00,1,0,178583,2005,818
Nehrams2020,2007-09-16 23:00:00,1,0,82497,2006,106
Nyttend,2007-11-01 04:00:00,1,0,244071,2006,1803
Wizardman,2007-01-22 02:22:00,1,0,238167,2006,70
Zzuuzz,2007-02-10 21:44:00,1,0,91583,2005,74
Betacommand,2007-09-06 20:20:00,0,0,86927,2005,5
MER-C,2007-02-03 11:31:00,0,0,186392,2006,179
TenPoundHammer,2009-09-02 17:21:00,0,0,218352,2005,1821
TonyTheTiger,2007-04-14 19:18:00,0,0,350636,2006,366
BrownHairedGirl,2006-05-07 20:46:00,1,0,416824,2006,458
Edgar181,2006-07-11 03:41:00,1,0,141282,2005,663
NawlinWiki,2006-08-18 22:10:00,1,0,219725,2005,130
Ohnoitsjamie,2006-01-21 02:07:00,1,0,153813,2005,1
Vegaswikian,2006-01-21 11:47:00,1,0,270510,2005,555
Alan Liefting,2006-06-20 02:41:00,0,0,134249,2004,518
Anthony Appleyard,2007-04-11 16:54:00,0,0,137196,2004,1405
MER-C,2007-02-03 11:31:00,0,0,186392,2006,179
Brian Kendig,2005-10-01 03:52:00,1,0,6173,2004,58
Briangotts,2005-08-06 20:57:00,1,0,14431,2005,471
CambridgeBayWeather,2005-10-16 11:10:00,1,0,183763,2004,718
Darwinek,2005-08-07 01:10:00,1,0,135029,2004,1051
DragonflySixtyseven,2005-10-02 16:21:00,1,0,52307,2004,200
Slambo,2005-03-23 22:04:00,1,0,145691,2004,540
Timrollpickering,2005-02-18 16:00:00,1,0,132808,2004,336
Wikiacc,2005-10-10 23:28:00,1,0,5180,2004,50
Wikibofh,2005-10-07 21:08:00,1,0,10399,2005,174
Wilfried Derksen,2005-04-13 17:56:00,1,0,20321,2004,1268
Wwoods,2005-04-06 10:15:00,1,0,45858,2004,1196
Darwinek,2005-08-07 01:10:00,0,0,135029,2004,1051
Anetode,2007-02-19 02:20:00,1,0,26855,2005,117
Armbrust,2011-05-12 17:31:00,0,0,254226,2008,1163
Tide rolls,2010-05-12 22:52:00,1,0,211682,2008,2
Favonian,2010-07-19 15:40:00,1,0,173539,2008,170
Excirial,2010-04-09 14:31:00,1,0,182244,2007,26
Anetode,2007-02-19 02:20:00,1,0,26855,2005,117
AzaToth,2007-01-09 16:05:00,1,0,22922,2004,19
Chochopk,2007-06-10 01:15:00,1,0,24481,2005,138
Danny,2004-01-24 17:33:00,1,0,41414,2002,618
Rzrscm,2010-05-30 11:31:00,0,0,1246,2006,1
AgentB1,2009-09-13 14:57:00,0,0,47,2009,1
Audi152,2009-10-17 04:38:00,0,0,324,2009,0
chase-mvp,2009-10-12 04:08:00,0,0,12,2009,0
DAFMM,2009-08-13 14:43:00,0,0,4567,2008,7
DaL33T,2009-08-24 18:40:00,0,0,3011,2008,1
